Book-name	Author	Publisher	Publish-time	ISBN	img-src	book-introduction	author-introduction	Score	commments	5-stars	4-stars	3-stars	2-stars	1-stars
C和指针	KennethA·Reek	人民邮电出版社	2008 年4月	9787115172013	https://img1.doubanio.com/view/subject/l/public/s2996168.jpg	本书提供与C语言编程相关的全面资源和深入讨论。本书通过对指针的基础知识和高级特性的探讨，帮助程序员把指针的强大功能融入到自己的程序中去。	Kenneth·Reek是罗彻斯特理工大学计算机科学教授。他是一位经验丰富的C程序员，曾为多家公司担任过技术顾问。他讲授的课程有操作系统、数据通信、计算机网络、形式语言、算法分析和交换系统等。本书正是基于他9年的编程及教学的经验积累。	9.0 	1381	62.6%	31.6%	4.9%	0.6%	0.3%
程序员面试金典（第5版）	[美]GayleLaakmannMcDowell	人民邮电出版社	2013-11	9787115332912	https://img3.doubanio.com/view/subject/l/public/s27105842.jpg	本书是原谷歌资深面试官的经验之作，层层紧扣程序员面试的每一个环节，全面而详尽地介绍了程序员应当如何应对面试，才能在面试中脱颖而出。第1～7 章主要涉及面试流程解析、面试官的幕后决策及可能提出的问题、面试前的准备工作、对面试结果的处理等内容；第8～9 章从数据结构、概念与算法、知识类问题和附加面试题4 个方面，为读者呈现了出自微软、苹果、谷歌等多家知名公司的150 道编程面试题，并针对每一道面试题目，分别给出了详细的解决方案。	NULL	9.0 	227	57.3%	34.8%	7.0%	0.9%	0.0%
程序员代码面试指南：IT名企算法与数据结构题目最优解	左程云	电子工业出版社	2015-9	9787121270116	https://img3.doubanio.com/view/subject/l/public/s28313721.jpg	NULL	NULL	8.9 	113	70.8%	20.4%	5.3%	1.8%	1.8%
HTML & CSS设计与构建网站	[美]JonDuckett	清华大学出版社	2013-1	9787302311034	https://img3.doubanio.com/view/subject/l/public/s24951890.jpg	NULL	作者介绍：	8.8 	393	54.5%	35.4%	7.6%	2.0%	0.5%
程序员的职业素养	[美]RobertC·Martin	人民邮电出版社	2012-9-1	9787115291578	https://img3.doubanio.com/view/subject/l/public/s11194203.jpg	"本书是编程大师Bob 大叔40 余年编程生涯的心得体会, 讲解成为真正专业的程序员需要什么样的态度、原则，需要采取什么样的行动。作者以自己以及身边的同事走过的弯路、犯过的错误为例，意在为后来人引路，助其职业生涯迈上更高台阶。"	NULL	8.7 	593	48.1%	38.8%	12.5%	0.7%	0.0%
树莓派开始，玩转Linux	Vamei	电子工业出版社	2018-6-27	9787121342660	https://img9.doubanio.com/view/subject/l/public/s29804526.jpg	本书以树莓派基础工具，讲解Linux操作系统。树莓派是近年来流行的微型电脑，能用于各种有趣的硬件开发。树莓派中安装了Linux系统，可以充当操作系统的学习平台。本书按照“树莓派背景知识——树莓派使用——Linux使用——操作系统原理——实操项目”的顺序展开。读者不仅能体验到玩树莓派的乐趣，而且能全面了解操作系统的核心概念和原理。	NULL	9.4 	55	72.7%	21.8%	5.5%	0.0%	0.0%
松本行弘：编程语言的设计与实现	[日]松本行弘	人民邮电出版社	2019-8	9787115516169	https://img3.doubanio.com/view/subject/l/public/s33447692.jpg	本书由Ruby 之父松本行弘在《日经Linux》杂志上的连载整合而成，主要介绍了新语言Streem 的设计与实现过程。作者从设计Streem 这门新语言的动机开始讲起，由浅入深，详细介绍了新语言开发中的各个环节，以及语言设计上的纠结与取舍，其中也不乏对其他编程语言的调查与思考，向读者展示了创建编程语言的乐趣。	作者简介：	NULL	NULL	NULL	NULL	NULL	NULL	NULL
JavaScript权威指南(第6版)	DavidFlanagan	机械工业出版社	2012-4-1	9787111376613	https://img3.doubanio.com/view/subject/l/public/s9056065.jpg	本书是程序员学习核心JavaScript语言和由Web浏览器定义的JavaScript API的指南和综合参考手册。	David Flanagan是一名程序员，也是一名作家，它的个人网站是http://davidflanagan.com。他在O'Reilly出版的其他畅销书还包括《JavaScript Pocket Reference》、《The Ruby Programming Language》，以及《Java in a Nutshell》。David毕业于麻生理工学院，获得计算机科学与工程学位。他和妻子和孩子一起生活在西雅图和温哥华之间的美国太平洋西北海岸。	8.8 	650	58.3%	29.4%	9.5%	2.2%	0.6%
编程之道	GeoffreyJames	电子工业出版社	2006	9787121023446	https://img1.doubanio.com/view/subject/l/public/s1877368.jpg	NULL	NULL	8.0 	335	30.1%	42.4%	22.7%	2.7%	2.1%
计算机科学概论（第12版）	[美]J.GlennBrookshear	人民邮电出版社	2017-1	9787115444271	https://img1.doubanio.com/view/subject/l/public/s29404618.jpg	《计算机科学概论》是计算机科学概论课程的经典教材，全书对计算机科学做了百科全书式的精彩阐述，充分展现了计算机科学的历史背景、发展历程和新的技术趋势。《计算机科学概论》首先介绍的是信息编码及计算机体系结构的基本原理，进而讲述操作系统和组网及因特网，接着探讨算法、程序设计语言及软件工程，然后讨论数据抽象和数据库方面的问题，讲述图形学的一些主要应用以及人工智能，以计算理论的介绍结束全书。《计算机科学概论》在内容编排上由具体到抽象逐步推进，很适合教学安排，每一个主题自然而然地引导出下一个主题。此外，书中还包含大量的图、表和示例，有助于读者对知识的了解与把握。	"J. Glenn Brookshear 世界知名的计算机科学教育家。他在1975年获得新墨西哥州立大学博士后，创办了Marquette大学的计算机科学学位项目，并在该校任教至今。他的主要研究方向是计算理论。除了本书之外，他还著有《Theory of Computationr: Formal Languages, Automata, and Complexity》。"	9.6 	77	64.9%	27.3%	6.5%	0.0%	1.3%
