电影详情链接	图片链接	影片中文名	影片外文名	评分	评价数	概况	相关信息
https://movie.douban.com/subject/1292052/	https://img2.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg	肖申克的救赎	TheShawshankRedemption	9.7	2302783	希望让人自由	导演:弗兰克·德拉邦特FrankDarabont主演:蒂姆·罗宾斯TimRobbins...1994美国犯罪剧情
https://movie.douban.com/subject/1291546/	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg	霸王别姬	  	9.6	1708381	风华绝代	导演:陈凯歌KaigeChen主演:张国荣LeslieCheung张丰毅FengyiZha...1993中国大陆中国香港剧情爱情同性
https://movie.douban.com/subject/1292720/	https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2372307693.jpg	阿甘正传	ForrestGump	9.5	1731769	一部美国近现代史	导演:罗伯特·泽米吉斯RobertZemeckis主演:汤姆·汉克斯TomHanks...1994美国剧情爱情
https://movie.douban.com/subject/1295644/	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg	这个杀手不太冷	Léon	9.4	1912102	怪蜀黍和小萝莉不得不说的故事	导演:吕克·贝松LucBesson主演:让·雷诺JeanReno娜塔莉·波特曼...1994法国美国剧情动作犯罪
https://movie.douban.com/subject/1292722/	https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg	泰坦尼克号	Titanic	9.4	1693885	失去的才是永恒的	导演:詹姆斯·卡梅隆JamesCameron主演:莱昂纳多·迪卡普里奥Leonardo...1997美国剧情爱情灾难
https://movie.douban.com/subject/1292063/	https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg	美丽人生	Lavitaèbella	9.5	1068536	最美的谎言	导演:罗伯托·贝尼尼RobertoBenigni主演:罗伯托·贝尼尼RobertoBeni...1997意大利剧情喜剧爱情战争
https://movie.douban.com/subject/1291561/	https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg	千与千寻	千と千尋の神隠し	9.4	1811036	最好的宫崎骏，最好的久石让	导演:宫崎骏HayaoMiyazaki主演:柊瑠美RumiH?ragi入野自由Miy...2001日本剧情动画奇幻
https://movie.douban.com/subject/1295124/	https://img2.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg	辛德勒的名单	Schindler'sList	9.5	884008	拯救一个人，就是拯救整个世界	导演:史蒂文·斯皮尔伯格StevenSpielberg主演:连姆·尼森LiamNeeson...1993美国剧情历史战争
https://movie.douban.com/subject/3541415/	https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2616355133.jpg	盗梦空间	Inception	9.3	1678072	诺兰给了我们一场无法盗取的梦	导演:克里斯托弗·诺兰ChristopherNolan主演:莱昂纳多·迪卡普里奥Le...2010美国英国剧情科幻悬疑冒险
https://movie.douban.com/subject/3011091/	https://img1.doubanio.com/view/photo/s_ratio_poster/public/p524964039.jpg	忠犬八公的故事	Hachi:ADog'sTale	9.4	1150739	永远都不能忘记你所爱的人	导演:莱塞·霍尔斯道姆LasseHallstr?m主演:理查·基尔RichardGer...2009美国英国剧情
https://movie.douban.com/subject/1889243/	https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2614988097.jpg	星际穿越	Interstellar	9.3	1349965	爱是一种力量，让我们超越时空感知它的存在	导演:克里斯托弗·诺兰ChristopherNolan主演:马修·麦康纳MatthewMc...2014美国英国加拿大剧情科幻冒险
https://movie.douban.com/subject/1292064/	https://img2.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg	楚门的世界	TheTrumanShow	9.3	1263972	如果再也不能见到你，祝你早安，午安，晚安	导演:彼得·威尔PeterWeir主演:金·凯瑞JimCarrey劳拉·琳妮Lau...1998美国剧情科幻
https://movie.douban.com/subject/1292001/	https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2574551676.jpg	海上钢琴师	Laleggendadelpianistasull'oceano	9.3	1363901	每个人都要走一条自己坚定了的路，就算是粉身碎骨	导演:朱塞佩·托纳多雷GiuseppeTornatore主演:蒂姆·罗斯TimRoth...1998意大利剧情音乐
https://movie.douban.com/subject/3793023/	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg	三傻大闹宝莱坞	3Idiots	9.2	1531343	英俊版憨豆，高情商版谢耳朵	导演:拉库马·希拉尼RajkumarHirani主演:阿米尔·汗AamirKhan卡...2009印度剧情喜剧爱情歌舞
https://movie.douban.com/subject/2131459/	https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2498830199.jpg	机器人总动员	WALL·E	9.3	1078610	小瓦力，大人生	导演:安德鲁·斯坦顿AndrewStanton主演:本·贝尔特BenBurtt艾丽...2008美国科幻动画冒险
https://movie.douban.com/subject/1291549/	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910824951.jpg	放牛班的春天	Leschoristes	9.3	1061441	天籁一般的童声，是最接近上帝的存在	导演:克里斯托夫·巴拉蒂ChristopheBarratier主演:热拉尔·朱尼奥Gé...2004法国瑞士德国剧情音乐
https://movie.douban.com/subject/1292213/	https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg	大话西游之大圣娶亲	西遊記大結局之仙履奇緣	9.2	1236245	一生所爱	导演:刘镇伟JeffreyLau主演:周星驰StephenChow吴孟达ManTatNg...1995中国香港中国大陆喜剧爱情奇幻古装
https://movie.douban.com/subject/25662329/	https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2614500649.jpg	疯狂动物城	Zootopia	9.2	1493551	迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料	导演:拜伦·霍华德ByronHoward瑞奇·摩尔RichMoore主演:金妮弗·...2016美国喜剧动画冒险
https://movie.douban.com/subject/1307914/	https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2564556863.jpg	无间道	無間道	9.2	1023275	香港电影史上永不过时的杰作	导演:刘伟强麦兆辉主演:刘德华梁朝伟黄秋生2002中国香港剧情犯罪悬疑
https://movie.douban.com/subject/5912992/	https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.jpg	熔炉	???	9.3	751668	我们一路奋战不是为了改变世界，而是为了不让世界改变我们	导演:黄东赫Dong-hyukHwang主演:孔侑YooGong郑有美Yu-miJung...2011韩国剧情
