Book-name	Author	Publisher	Publish-time	ISBN	img-src	book-introduction	author-introduction	Score	commments	5-stars	4-stars	3-stars	2-stars	1-stars
红楼梦	[清]曹雪芹著	人民文学出版社	1996-12	9787020002207	https://img1.doubanio.com/view/subject/l/public/s1070959.jpg			9.6 	232626	82.9%	14.1%	2.5%	0.3%	0.2%
骆驼祥子	老舍	人民文学出版社	2000-3-1	9787020028115	https://img3.doubanio.com/view/subject/l/public/s1146040.jpg	《骆驼祥子》是老舍用同情的笔触描绘的一幕悲剧：二十年代的北京，一个勤劳、壮实的底层社会小人物怀着发家、奋斗的美好梦想，却最终为黑暗的暴风雨所吞噬。它揭示了当时“小人物”的奴隶心理和希望的最终破灭。随着祥子心爱的女人小福子的自杀，祥子熄灭了个人奋斗的最后一朵火花。这是旧中国老北京贫苦市民的典型命运。	老舍（1899―1966），现代著名作家。出身北京贫民家庭，1924年赴英国教书，1930年回国后长期在青岛大学等校任教授。擅长表现北京下层人民的贫苦生活及其悲惨命运。主要作品有《骆驼祥子》、《四世同堂》、《月牙儿》等小说。解放后热情歌颂新社会，创作了《龙须沟》、《茶馆》等二十多个剧本以及大量的小说、散文、荣获“人民艺术家”称号。曾任全国人大代表、中国文联副主席等职。	8.4 	118225	41.7%	47.9%	9.9%	0.3%	0.1%
鲁滨逊漂流记	[英]丹尼尔·笛福	广西民族出版社	2002-1	9787536340497	https://img9.doubanio.com/view/subject/l/public/s1242786.jpg	《鲁滨逊飘流记》是18世纪英国作家达尼尔·笛福的代表作品，也是一部具有广泛的世界性影响的作品。	达尼尔·笛福1660年出生在人伦郭一个商人家庭，父亲经营屠宰业。笛福受过中等教育，信奉不属于英国国教的长老会教派。由于家庭的影响，新教学校的教育，他二十岁时已经成为一个体面的小商人了。	8.1 	129523	35.4%	47.7%	16.2%	0.6%	0.1%
老人与海	[美]欧内斯特·海明威	上海译文出版社	1999-10	9787532723447	https://img3.doubanio.com/view/subject/l/public/s1050021.jpg	本书讲述了一个渔夫的故事。古巴老渔夫圣地亚哥在连续八十四天没捕到鱼的情况下，终于独自钓上了一条大马林鱼，但这鱼实在大，把他的小船在海上拖了三天才筋疲力尽，被他杀死了绑在小船的一边。在归程中，他再遭到一条鲨鱼的袭击，最后回港时只剩鱼头鱼尾和一条脊骨。而在老圣地亚哥出海的日子里，他的忘年好友一直在海边忠诚地等待，满怀信心地迎接着他的归来。		8.4 	129796	42.2%	44.7%	12.3%	0.7%	0.1%
百年孤独	[哥伦比亚]加西亚·马尔克斯	南海出版公司	2011-6	9787544253994	https://img3.doubanio.com/view/subject/l/public/s6384944.jpg	《百年孤独》是魔幻现实主义文学的代表作，描写了布恩迪亚家族七代人的传奇故事，以及加勒比海沿岸小镇马孔多的百年兴衰，反映了拉丁美洲一个世纪以来风云变幻的历史。作品融入神话传说、民间故事、宗教典故等神秘因素，巧妙地糅合了现实与虚幻，展现出一个瑰丽的想象世界，成为20世纪最重要的经典文学巨著之一。1982年加西亚?马尔克斯获得诺贝尔文学奖，奠定世界级文学大师的地位，很大程度上乃是凭借《百年孤独》的巨大影响。	加西亚?马尔克斯（Gabriel García Márquez）1927年出生于哥伦比亚马格达莱纳海滨小镇阿拉卡塔卡。童年与外祖父母一起生活。1936年随父母迁居苏克雷。1947年考入波哥大国立大学。1948年因内战辍学，进入报界。五十年代开始发表文学作品。六十年代初移居墨西哥。1967年出版《百年孤独》。1982年获诺贝尔文学奖。	9.2 	238933	67.3%	26.0%	5.9%	0.5%	0.3%
简爱（英文全本）	[英]夏洛蒂·勃朗特	世界图书出版公司	2003-11	9787506261579	https://img9.doubanio.com/view/subject/l/public/s5924326.jpg	《简爱》是英国女作家夏洛蒂·勃朗特的代表作品。女主人公简爱是一个追赶求平等与自主的知识女性形象，小说以其感人的对于一位“灰姑娘式”人物奋斗史的刻划取胜，《简爱》也是女性文学的代表作品。		8.5 	167614	41.4%	43.9%	13.3%	1.0%	0.4%
飘	[美]玛格丽特·米切尔	译林出版社	2000-9	9787806570920	https://img1.doubanio.com/view/subject/l/public/s1078958.jpg	小说中的故事发生在1861年美国南北战争前夕。生活在南方的少女郝思嘉从小深受南方文化传统的熏陶，可在她的血液里却流淌着野性的叛逆因素。随着战火的蔓廷和生活环境的恶化，郝思嘉的叛逆个性越来越丰满，越鲜明，在一系列的的挫折中她改造了自我，改变了个人甚至整个家族的命运，成为时代时势造就的新女性的形象。	"米切尔（Margaret Mitchell, 1900-1949）美国女作家。出生于美国南部佐治亚州亚特兰大市。父亲是个律师，曾任亚特兰大历史协会主席。米切尔曾就读于华盛顿神学院、马萨诸塞州的史密斯学院。其后，她曾担任地方报纸《亚特兰大报》的记者。1925年与约翰·马尔什结婚，婚后辞去报职，潜心写作。"	9.3 	130962	70.0%	24.9%	4.5%	0.4%	0.3%
三国演义（全二册）	罗贯中	人民文学出版社	1998-05	9787020008728	https://img3.doubanio.com/view/subject/l/public/s1076932.jpg		罗贯中（约1330—约1400），汉族，名本，字贯中，号湖海散人。山西太原人，一说钱塘（现在浙江杭州）或庐陵（现在江西吉安）人。元末明初著名小说家、戏曲家，是中国章回小说的鼻祖。一生著作颇丰，主要作品有：剧本《赵太祖龙虎风云会》《忠正孝子连环谏》、《三平章死哭蜚虎子》；小说《隋唐两朝志传》《残唐五代史演义》《三遂平妖传》《粉妆楼》、和施耐庵合著的《水浒传》、代表作《三国演义》等。	9.2 	99577	71.8%	23.1%	4.6%	0.3%	0.1%
围城	钱钟书	人民文学出版社	1991-2	9787020024759	https://img3.doubanio.com/view/subject/l/public/s1070222.jpg		钱钟书(1910－1998)，字哲良，默存，号槐聚，中国江苏无锡人，中国近代著名作家、 文学研究家。毕业于清华大学外文系，获文学学士，赴上海，到光华大学任教。后考取第三届(1935年)庚子赔款公费留学资格，名列榜首，留学英国牛津大学 埃克塞特学院。大学毕业后任教于多所高校。新中国成立后被评为一级教授。晚年就职于中国社会科学院，任副院长。其夫人杨绛也是著名作家，育有一女钱媛(1937年-1997年)。曾为《毛泽东选集》英文版翻译小组成员。1998年逝世，享年88岁。	8.9 	321224	57.3%	35.2%	7.1%	0.3%	0.1%
基督山伯爵	[法]大仲马	上海译文出版社	1991-12-1	9787532712243	https://img9.doubanio.com/view/subject/l/public/s3248016.jpg	小说以法国波旁王朝和七月王朝两大时期为背景，描写了一个报恩复仇的故事。法老号大副唐泰斯受船长的临终嘱托，为拿破仑送了一封信，受到两个对他嫉妒的小人的陷害，被打入死牢，狱友法里亚神甫向他传授了各种知识，还在临终前把一批宝藏的秘密告诉了他。他设法越狱后找到了宝藏，成为巨富。从此他化名为基督山伯爵，经过精心策划，报答了他的恩人，惩罚了三个一心想置他于死地的仇人。		9.0 	85273	61.4%	31.3%	7.0%	0.3%	0.1%
