排名	歌名	表演者	发表时间	音乐类型	评分	详细链接	图片
1	 WeSing.WeDance.WeStealThings. 	Jason Mraz 	 2008-05-13 	 民谣	9.1	https://music.douban.com/subject/2995812/	https://img2.doubanio.com/view/subject/s/public/s2967252.jpg
2	 VivaLaVida DeathAndAllHisFriends 	Coldplay 	 2008-06-17 	 摇滚	8.7	https://music.douban.com/subject/3040149/	https://img9.doubanio.com/view/subject/s/public/s3054604.jpg
3	 华丽的冒险 華麗的冒險 	陈绮贞 	 2005-09-23 	 流行	8.9	https://music.douban.com/subject/1427374/	https://img9.doubanio.com/view/subject/s/public/s1441645.jpg
4	 范特西 Fantasy 	周杰伦 	 2001-09-14 	 流行	9.2	https://music.douban.com/subject/1403307/	https://img2.doubanio.com/view/subject/s/public/s3750422.jpg
5	 後。青春期的詩 后青春期的诗 	五月天 	 2008-10-23 	 摇滚	8.8	https://music.douban.com/subject/3259411/	https://img1.doubanio.com/view/subject/s/public/s3316597.jpg
6	 是时候 It'sTime 	孙燕姿 	 2011-03-08 	 流行	8.6	https://music.douban.com/subject/5958397/	https://img1.doubanio.com/view/subject/s/public/s4653287.jpg
7	 Lenka 	Lenka 	 2008-09-23 	 流行	8.5	https://music.douban.com/subject/3184419/	https://img9.doubanio.com/view/subject/s/public/s3259484.jpg
8	 StartfromHere 从这里开始 	王若琳 	 2008-01-11 	 爵士	8.7	https://music.douban.com/subject/3041487/	https://img1.doubanio.com/view/subject/s/public/s2874587.jpg
9	 旅行的意义 	陈绮贞 	 2004-02-02 	 流行	9.2	https://music.douban.com/subject/1395089/	https://img2.doubanio.com/view/subject/s/public/s2617173.jpg
10	 太阳 Immortal 	陈绮贞 	 2009-01-22 	 流行	8.6	https://music.douban.com/subject/3390002/	https://img1.doubanio.com/view/subject/s/public/s3570839.jpg
11	 Once(Soundtrack) Once/电影《曾经》原声大碟 	"Glen Hansard,Marketa Irglova "	 2007-05-22 	 原声	9.1	https://music.douban.com/subject/2131368/	https://img3.doubanio.com/view/subject/s/public/s2821080.jpg
12	 NotGoingAnywhere 守候 	Keren Ann 	 2004-08-24 	 民谣	8.9	https://music.douban.com/subject/1394765/	https://img1.doubanio.com/view/subject/s/public/s1431228.jpg
13	 AmericanIdiot 	Green Day 	 2004-09-21 	 摇滚	8.9	https://music.douban.com/subject/1396380/	https://img2.doubanio.com/view/subject/s/public/s1485602.jpg
14	 思念是一种病 OK 	张震岳 Csun Yuk 	 2007-07-06 	 流行	8.8	https://music.douban.com/subject/2134548/	https://img1.doubanio.com/view/subject/s/public/s2591057.jpg
15	 無與倫比的美麗 无与伦比的美丽 	苏打绿 	 2007-11-02 	 流行	8.6	https://music.douban.com/subject/3717116/	https://img2.doubanio.com/view/subject/s/public/s2757483.jpg
16	 亲爱的...我还不知道 親愛的…我還不知道 	张悬 	 2007-07-20 	 流行	8.5	https://music.douban.com/subject/2131595/	https://img3.doubanio.com/view/subject/s/public/s2604331.jpg
17	 城市 TheCity 	张悬 	 2009-05-22 	 流行	8.3	https://music.douban.com/subject/3801228/	https://img3.doubanio.com/view/subject/s/public/s3786340.jpg
18	 O 	Damien Rice 	 2003 	 流行	9.1	https://music.douban.com/subject/1394590/	https://img1.doubanio.com/view/subject/s/public/s2838077.jpg
19	 WakeMeUpWhenSeptemberEnds 九月结束的时候叫醒我 	Green Day 	 2005-06-13 	 摇滚	9.3	https://music.douban.com/subject/1431596/	https://img1.doubanio.com/view/subject/s/public/s3572868.jpg
20	 叶惠美 葉惠美 	周杰伦 	 2003-07-31 	 流行	8.5	https://music.douban.com/subject/1406522/	https://img3.doubanio.com/view/subject/s/public/s29265961.jpg
21	 七里香 CommonJasminOrange 	周杰伦 	 2004 	 流行	8.1	https://music.douban.com/subject/1401853/	https://img9.doubanio.com/view/subject/s/public/s3737076.jpg
22	 21 	Adele 	 2011-02-01 	 流行	9.0	https://music.douban.com/subject/5351500/	https://img9.doubanio.com/view/subject/s/public/s4527315.jpg
23	 MyLifeWill... 	张悬 	 2006-06-09 	 流行	8.6	https://music.douban.com/subject/1788174/	https://img1.doubanio.com/view/subject/s/public/s1884457.jpg
24	 寓言 	王菲 	 2000 	 流行	9.3	https://music.douban.com/subject/1402531/	https://img3.doubanio.com/view/subject/s/public/s3336480.jpg
25	 你在煩惱什麼 你在烦恼什么 	苏打绿 	 2011-11-11 	 流行	8.9	https://music.douban.com/subject/6816154/	https://img9.doubanio.com/view/subject/s/public/s6987806.jpg
26	 感官/世界 SensesAround 	林宥嘉 	 2009-10-30 	 流行	8.7	https://music.douban.com/subject/4738592/	https://img3.doubanio.com/view/subject/s/public/s4039591.jpg
27	 Nevermind 别介意 	Nirvana 	 1991 	 摇滚	9.2	https://music.douban.com/subject/1394568/	https://img3.doubanio.com/view/subject/s/public/s1632580.jpg
28	 八度空间 TheEightDimensions 	周杰伦 	 2002-07-19 	 流行	8.5	https://music.douban.com/subject/1403832/	https://img9.doubanio.com/view/subject/s/public/s4598636.jpg
