Book-name	Author	Publisher	Publish-time	ISBN	img-src	book-introduction	author-introduction	Score	commments	5-stars	4-stars	3-stars	2-stars	1-stars
解忧杂货店	[日]东野圭吾	南海出版公司	2014-5	9787544270878	https://img3.doubanio.com/view/subject/l/public/s27264181.jpg	现代人内心流失的东西，这家杂货店能帮你找回——	东野圭吾	8.5 	548421	48.7%	39.4%	10.8%	0.9%	0.2%
活着	余华	作家出版社	2012-8-1	9787506365437	https://img3.doubanio.com/view/subject/l/public/s29053580.jpg	《活着(新版)》讲述了农村人福贵悲惨的人生遭遇。福贵本是个阔少爷，可他嗜赌如命，终于赌光了家业，一贫如洗。他的父亲被他活活气死，母亲则在穷困中患了重病，福贵前去求药，却在途中被国民党抓去当壮丁。经过几番波折回到家里，才知道母亲早已去世，妻子家珍含辛茹苦地养大两个儿女。此后更加悲惨的命运一次又一次降临到福贵身上，他的妻子、儿女和孙子相继死去，最后只剩福贵和一头老牛相依为命，但老人依旧活着，仿佛比往日更加洒脱与坚强。	NULL	9.4 	351130	75.4%	22.1%	2.3%	0.1%	0.1%
追风筝的人	[美]卡勒德·胡赛尼	上海人民出版社	2006-5	9787208061644	https://img3.doubanio.com/view/subject/l/public/s1727290.jpg	12岁的阿富汗富家少爷阿米尔与仆人哈桑情同手足。然而，在一场风筝比赛后，发生了一件悲惨不堪的事，阿米尔为自己的懦弱感到自责和痛苦，逼走了哈桑，不久，自己也跟随父亲逃往美国。	NULL	8.9 	551290	57.1%	35.5%	6.7%	0.5%	0.2%
白夜行	[日]东野圭吾	南海出版公司	2008-9	9787544242516	https://img3.doubanio.com/view/subject/l/public/s4610502.jpg	“只希望能手牵手在太阳下散步”，这个象征故事内核的绝望念想，有如一个美丽的幌子，随着无数凌乱、压抑、悲凉的故事片段像纪录片一样一一还原：没有痴痴相思，没有海枯石烂，只剩下一个冰冷绝望的诡计，最后一丝温情也被完全抛弃，万千读者在一曲救赎罪恶的凄苦爱情中悲切动容……	东野圭吾，日本著名作家。1958年生于大阪。1985年，以第31届江户川乱步奖获奖作品《放学后》出道，开始扬名立万。20年作品逾60部，几乎囊括日本所有大奖：1999年，《秘密》获第52届日本推理作家协会奖，入围第120届直木奖；2000年，《白夜行》入围第122届直木奖；2001年，《暗恋》入围第125届直木奖；2004年，《幻夜》入围第131届直木奖；2006年的《嫌疑人X的献身》，获得第134届直木奖、第6届本格推理小说大奖。	9.1 	409774	65.2%	29.2%	5.0%	0.4%	0.2%
嫌疑人X的献身	[日]东野圭吾	南海出版公司	2008-9	9787544241694	https://img3.doubanio.com/view/subject/l/public/s3254244.jpg	百年一遇的数学天才石神，每天唯一的乐趣，便是去固定的便当店买午餐，只为看一眼在便当店做事的邻居靖子。	NULL	8.9 	341652	54.8%	37.1%	7.5%	0.4%	0.2%
三体	刘慈欣	重庆出版社	2008-1	9787536692930	https://img1.doubanio.com/view/subject/l/public/s2768378.jpg	文化大革命如火如荼进行的同时。军方探寻外星文明的绝秘计划“红岸工程”取得了突破性进展。但在按下发射键的那一刻，历经劫难的叶文洁没有意识到，她彻底改变了人类的命运。地球文明向宇宙发出的第一声啼鸣，以太阳为中心，以光速向宇宙深处飞驰……	刘慈欣，祖籍河南，长于山西，中国科普作家协会会员，山西省作家协会会员，高级工程师。	8.8 	326960	60.5%	31.2%	7.1%	0.8%	0.4%
平凡的世界（全三部）	路遥	人民文学出版社	2005-1	9787020049295	https://img3.doubanio.com/view/subject/l/public/s1144911.jpg	《平凡的世界》是一部现实主义小说，也是一部小说形式的家族史。作者浓缩了中国西北农村的历史变迁过程，在小说中全景式地表现了中国当代城乡的社会生活。在近十年的广阔背景下，通过复杂的矛盾纠葛，刻划社会各阶层众多普通人的形象。劳动与爱情，挫折与追求，痛苦与欢乐，日常生活与巨大社会冲突，纷繁地交织在一起，深刻地展示了普通人在大时代历史进程中所走过的艰难曲折的道路。	路遥（1949年—1992年），陕西清涧人。1973年入延安大学中文系学习。1976年大学毕业后，先后在《陕西文艺》和《延河》杂志做编辑工作。1978年开始发表作品。著有长篇小说《平凡的世界》，中篇小说《惊心动魄的一幕》《人生》等。曾任陕西省作家协会副主席。	9.0 	207335	66.0%	27.0%	6.0%	0.7%	0.4%
围城	钱钟书	人民文学出版社	1991-2	9787020024759	https://img3.doubanio.com/view/subject/l/public/s1070222.jpg	NULL	钱钟书(1910－1998)，字哲良，默存，号槐聚，中国江苏无锡人，中国近代著名作家、 文学研究家。毕业于清华大学外文系，获文学学士，赴上海，到光华大学任教。后考取第三届(1935年)庚子赔款公费留学资格，名列榜首，留学英国牛津大学 埃克塞特学院。大学毕业后任教于多所高校。新中国成立后被评为一级教授。晚年就职于中国社会科学院，任副院长。其夫人杨绛也是著名作家，育有一女钱媛(1937年-1997年)。曾为《毛泽东选集》英文版翻译小组成员。1998年逝世，享年88岁。	8.9 	321149	57.3%	35.2%	7.1%	0.3%	0.1%
红楼梦	[清]曹雪芹著	人民文学出版社	1996-12	9787020002207	https://img1.doubanio.com/view/subject/l/public/s1070959.jpg	NULL	NULL	9.6 	232562	82.9%	14.1%	2.5%	0.3%	0.2%
小王子	[法]圣埃克苏佩里	人民文学出版社	2003-8	9787020042494	https://img3.doubanio.com/view/subject/l/public/s1103152.jpg	NULL	"安托万·德·圣埃克苏佩里（Antoine de Saint-Exupery, 1900-1944）1900年6月29日出生在法国里昂。他曾经有志于报考海军学院，未能如愿，却有幸成了空军的一员。1923年退役后，先后从事过各种不同的职业。"	9.0 	472865	64.1%	28.5%	6.7%	0.5%	0.2%
许三观卖血记	余华	南海出版公司	1998-9	9787544211765	https://img3.doubanio.com/view/subject/l/public/s1074291.jpg	《许三观卖血记》是余华1995年创作的一部长篇小说，它以博大的温情描绘了磨难中的人生，以激烈的故事形式表达了人在面对厄运时求生的欲望。小说讲述了许三观靠着卖血渡过了人生的一个个难关，战胜了命运强加给他的惊涛骇浪，而当他老了，知道自己的血再也没有人要时，精神却崩溃了。	余华（1960- ）当代作家。浙江海盐人，出生于浙江杭州，后来随父母迁居海盐县。中学毕业后，因父母是医生，作了牙医，五年后弃医从文，进入县文化馆和嘉兴文联，从此开始文学创作生涯。曾在北京鲁迅文学院与北师大中文系合办的研究生班深造，1984年开始发表小说。余华是中国先锋派小说的代表人物，与叶兆言、苏童等人齐名。作品有短篇小说集《十八岁出门远行》、《世事如烟》，长篇小说《活着》、《在细雨中呼喊》及《战栗》。	8.7 	155142	56.0%	37.9%	5.9%	0.2%	0.0%
82年生的金智英	[韩]赵南柱	贵州人民出版社	2019-9	9787221153159	https://img1.doubanio.com/view/subject/l/public/s33463759.jpg	NULL	NULL	7.9 	10876	26.0%	53.1%	19.2%	1.4%	0.3%
房思琪的初恋乐园	林奕含	北京联合出版公司	2018-1	9787559614636	https://img3.doubanio.com/view/subject/l/public/s29651121.jpg	NULL	NULL	9.2 	118012	66.6%	28.5%	4.4%	0.4%	0.2%
百年孤独	[哥伦比亚]加西亚·马尔克斯	南海出版公司	2011-6	9787544253994	https://img3.doubanio.com/view/subject/l/public/s6384944.jpg	《百年孤独》是魔幻现实主义文学的代表作，描写了布恩迪亚家族七代人的传奇故事，以及加勒比海沿岸小镇马孔多的百年兴衰，反映了拉丁美洲一个世纪以来风云变幻的历史。作品融入神话传说、民间故事、宗教典故等神秘因素，巧妙地糅合了现实与虚幻，展现出一个瑰丽的想象世界，成为20世纪最重要的经典文学巨著之一。1982年加西亚?马尔克斯获得诺贝尔文学奖，奠定世界级文学大师的地位，很大程度上乃是凭借《百年孤独》的巨大影响。	加西亚?马尔克斯（Gabriel García Márquez）1927年出生于哥伦比亚马格达莱纳海滨小镇阿拉卡塔卡。童年与外祖父母一起生活。1936年随父母迁居苏克雷。1947年考入波哥大国立大学。1948年因内战辍学，进入报界。五十年代开始发表文学作品。六十年代初移居墨西哥。1967年出版《百年孤独》。1982年获诺贝尔文学奖。	9.2 	238866	67.3%	26.0%	5.9%	0.5%	0.3%
骆驼祥子	老舍	人民文学出版社	2000-3-1	9787020028115	https://img3.doubanio.com/view/subject/l/public/s1146040.jpg	《骆驼祥子》是老舍用同情的笔触描绘的一幕悲剧：二十年代的北京，一个勤劳、壮实的底层社会小人物怀着发家、奋斗的美好梦想，却最终为黑暗的暴风雨所吞噬。它揭示了当时“小人物”的奴隶心理和希望的最终破灭。随着祥子心爱的女人小福子的自杀，祥子熄灭了个人奋斗的最后一朵火花。这是旧中国老北京贫苦市民的典型命运。	老舍（1899―1966），现代著名作家。出身北京贫民家庭，1924年赴英国教书，1930年回国后长期在青岛大学等校任教授。擅长表现北京下层人民的贫苦生活及其悲惨命运。主要作品有《骆驼祥子》、《四世同堂》、《月牙儿》等小说。解放后热情歌颂新社会，创作了《龙须沟》、《茶馆》等二十多个剧本以及大量的小说、散文、荣获“人民艺术家”称号。曾任全国人大代表、中国文联副主席等职。	8.4 	118169	41.7%	47.9%	9.9%	0.3%	0.1%
鲁滨逊漂流记	[英]丹尼尔·笛福	广西民族出版社	2002-1	9787536340497	https://img9.doubanio.com/view/subject/l/public/s1242786.jpg	《鲁滨逊飘流记》是18世纪英国作家达尼尔·笛福的代表作品，也是一部具有广泛的世界性影响的作品。	达尼尔·笛福1660年出生在人伦郭一个商人家庭，父亲经营屠宰业。笛福受过中等教育，信奉不属于英国国教的长老会教派。由于家庭的影响，新教学校的教育，他二十岁时已经成为一个体面的小商人了。	8.1 	129467	35.4%	47.7%	16.2%	0.6%	0.1%
月亮与六便士	[英]威廉·萨默塞特·毛姆	浙江文艺出版社	2017-1-1	9787533936020	https://img1.doubanio.com/view/subject/l/public/s29634528.jpg	“满地都是六便士，他却抬头看见了月亮。”	NULL	8.8 	107307	52.6%	37.9%	8.2%	0.9%	0.4%
盗墓笔记	南派三叔	中国友谊出版公司	2007-1	9787505722835	https://img3.doubanio.com/view/subject/l/public/s4442295.jpg	五十年前，一群长沙土夫子（盗墓贼）挖到一部战国帛书，残篇中记载了一座奇特的战国古墓的位置，但那群土夫子在地下碰上了诡异事件，几乎全部身亡。	南派三叔（1982年2月20日— ），本名徐磊，男，浙江人，现居杭州。超级畅销书作家。他的《盗墓笔记》系列与另一位作家的《鬼吹灯》系列共同开启了中国小说界的“盗墓时代”。	8.3 	141895	41.5%	42.0%	14.6%	1.4%	0.5%
人间失格	太宰治	吉林出版集团有限责任公司	2009-9	9787546302393	https://img9.doubanio.com/view/subject/l/public/s6100756.jpg	第一次，我喝酒喝得如此失态。	太宰治（1909－1948）	8.3 	155086	38.2%	44.7%	15.2%	1.4%	0.5%
白夜行	[日]东野圭吾	南海出版公司	2013-1-1	9787544258609	https://img1.doubanio.com/view/subject/l/public/s24514468.jpg	NULL	东野圭吾	9.2 	183249	69.7%	25.8%	4.0%	0.3%	0.2%
